VideoCard,AvgOPS-Sec
GeForce GTX 765M,"1,065"
Radeon Ryzen 5 PRO 5675U,"1,064"
GeForce GTX 460 v2,"1,062"
Ryzen 5 5560U with Radeon Graphics,"1,062"
Radeon R7 A8-7500,"1,060"
Radeon HD 8870M,"1,059"
Radeon HD 8950,"1,059"
Radeon Ryzen 7 4700U,"1,058"
Radeon Ryzen 7 PRO 4750U,"1,058"
Intel UHD Graphics 617,"1,055"
Radeon HD 6870,"1,055"
Seria Radeon HD 7700,"1,053"
GeForce GTX 560,"1,048"
Ryzen 3 5425U with Radeon Graphics,"1,047"
Radeon R7 PRO A8-9600,"1,045"
Ryzen 3 7330U with Radeon Graphics,"1,045"
Radeon Vega 8 Ryzen 3 PRO 3200G,"1,043"
Ryzen 3 PRO 5350GE with Radeon Graphics,"1,041"
Custom GPU 0405,"1,037"
TENSOR 1.0 Driver Intel HD 630,"1,032"
Radeon Ryzen 7 7700X 8-Core,"1,031"
Radeon RX 550,"1,028"
Radeon RX Vega 10 Ryzen 7 3750H,"1,028"
Radeon Ryzen 3 PRO 5450U,"1,022"
GeForce GTX 580M,"1,021"
Radeon Ryzen 5 Microsoft Surface Edition,"1,021"
GeForce GTX 760M,"1,020"
Radeon Pro WX 3200,"1,018"
GeForce GTX 460,"1,012"
GRID T4-1Q,"1,009"
FirePro M6100,"1,007"
Quadro M520,"1,007"
GeForce GTX 485M,"1,006"
Radeon R5 A10-9630P 4C+6G,"1,006"
GeForce MX250,"1,004"
Radeon R5 PRO A6-8570 2C+6G,"1,004"
Radeon HD 6950,"1,001"
Radeon HD HD7850M,"1,000"
GeForce MX330,999
GeForce GTX 745,989
Radeon Ryzen 3 PRO 7335U,979
GRID P100-1B,972
Radeon Ryzen 5 7600 6-Core,970
Radeon R7 PRO A8-8670E,967
Quadro K620,966
GeForce MX130,965
Radeon R9 M385,965
Radeon R5 340,964
Qualcomm Adreno 8cx Gen 3,960
Radeon Ryzen 9 7950X3D 16-Core,960
Radeon HD 7560D + 7700 Dual,955
GeForce MX150,954
Radeon HD 5970,952
Radeon R9 M270X,952
Radeon HD 8670D + 7700 Dual,950
Radeon R7 + R5 435 Dual A10-9700 RADEON,950
Radeon Ryzen 7 7800X3D 8-Core,949
Ryzen 5 4600U with Radeon Graphics,949
Radeon Ryzen 3 7330U,948
Radeon HD 7870M,947
Radeon 550,946
Radeon HD 5850,946
Intel Iris Pro Graphics 6200,945
Intel UHD Graphics 770,942
Radeon Pro WX 4150,942
Embedded Radeon E9173,940
Ryzen 5 4500U with Radeon Graphics,937
GeForce 930MX,936
Intel Iris Pro P6300,934
Ryzen 3 PRO 5475U with Radeon Graphics,934
Ryzen 3 5400U with Radeon Graphics,931
GRID M60-1Q,930
GRID P40-2B,929
GeForce GTX 670MX,928
Radeon RX Vega 10 Ryzen 7 PRO 3700U w/,928
Radeon RX Vega 10,926
Radeon Ryzen 3 5425U,925
NVS 810,922
Radeon RX Vega11,920
GeForce GTX 555,916
GeForce GTX 465,913
Barco MXRT 5500,911
Radeon R5 430,911
Radeon R7 A10-9700E RADEON,910
Ryzen 3 5300U with Radeon Graphics,909
Radeon R9 350,905
Quadro K3100M,903
Radeon R7 Opteron X3421,899
Intel UHD Graphics P630,898
GeForce GT 745M,895
GeForce GTX 560 SE,895
GeForce GTX 645,894
P106-090,894
Radeon Vega 8 Ryzen 3 PRO 3200GE w/,893
Ryzen 5 PRO 4650U with Radeon Graphics,892
Radeon R5 PRO A6-9500 2C+6G,890
FirePro M6000 Mobility Pro,889
Intel Iris Pro 580,887
Quadro P520,887
Radeon Vega 10,883
Radeon R7 430,880
Radeon Vega 8,879
Quadro K3000M,878
GeForce 940MX,877
Quadro 5010M,877
Radeon Ryzen 3 5300U,876
Quadro K2100M,874
Radeon HD 5830,873
Radeon R7 PRO A6-9500 2C+6G,870
Radeon Vega 9,868
GeForce GTX 480M,867
Radeon Pro WX 3100,867
Radeon Vega 10 Ryzen 7 PRO 3700U w/,865
Intel Iris Pro 5200,864
Radeon R5 A6-9500E 2C+4G,861
Intel Iris Plus 645,859
GeForce 945M,858
Radeon Vega 10 Mobile,848
GeForce GT 740,846
Radeon RX 640,844
GeForce GTX 650,843
GeForce GTX 660M,842
Radeon 610M Ryzen 9 7945HX,842
Radeon HD 7750,842
Radeon R7 PRO A10-9700B,840
Radeon R7 7850A10-7850K,837
Radeon R7 450,836
Radeon Pro WX 2100,835
Virtual Display Device,831
GRID T4-4Q,829
Intel Iris Plus,826
Radeon R7 PRO A10-8850B,826
FirePro V7900,824
Radeon R7 A10 PRO-7850B,823
Radeon R7 FX-9830P RADEON,822
Radeon R7 340,821
GRID T4-2Q,817
Intel Iris 650,817
GRID V100D-8Q,814
Radeon Ryzen 7 3700U,814
Radeon RX 550X,812
Radeon Ryzen 5 7600X 6-Core,812
Quadro K620M,804
FirePro 3D V5800,802
Radeon HD 7850M,802
Radeon R6 Opteron X3418,801
Quadro M520,799
GeForce GTX 675M,798
GeForce GTX 650,797
Quadro M600M,795
Radeon RX Vega 10 Ryzen 7 3700U,795
Radeon HD 6850,793
Radeon R9 M360,792
GeForce GTX 570M,790
Intel UHD Graphics 750,790
FirePro W600,787
GeForce GTX 460 SE,787
Radeon RX Vega 8,787
Firepro W5170M,784
GeForce GTX 760M,783
GeForce 825M,782
GeForce GTX 470M,782
GeForce 845M,779
GeForce GT 755M,779
Radeon R7 A12-9800 RADEON,779
GeForce GTX 660M,777
GeForce MX130,777
Intel HD P530,776
Radeon Vega 8 Ryzen 5 3550H,776
Quadro K4000M,775
Radeon R7 A12-9730P RADEON,775
Quadro P400,772
Radeon Ryzen 7 7700 8-Core,771
Radeon R7 + R7 200 Dual,770
Radeon RX 540,767
Ryzen 3 PRO 4300U with Radeon Graphics,766
GeForce MX230,763
GeForce GT 750M,762
Intel UHD Graphics P750,761
Barco MXRT 5450,760
Radeon Vega 8 Ryzen 5 PRO 3500U w/,760
FirePro M4000 Mobility Pro,752
Quadro P500,751
Radeon R7 +8G,749
FirePro W2100,747
Radeon R9 255,746
Ryzen 3 PRO 4450U with Radeon Graphics,746
FirePro M4000,745
GeForce 840M,745
GeForce 940M,745
Quadro 5000,745
Quadro 5000M,745
Radeon RX Vega11 Ryzen 7 Microsoft Surface Edition,745
Radeon Ryzen 9 PRO 7945 12-Core,743
GeForce 930A,742
FirePro M40003,741
Intel Iris Plus 655,741
Radeon HD 7660D + R7 240 Dual,738
Radeon Vega 9 Ryzen 5 Microsoft Surface Edition,738
GeForce 945M,736
Intel Iris Plus 650,736
Qualcomm Adreno 630 GPU,736
GRID P6-2Q,735
Radeon R9 M375X,735
Intel UHD Graphics 730,734
Quadro K2000D,731
Radeon Ryzen 5 PRO 7645 6-Core,731
Radeon Vega 8 Mobile,729
GeForce GTX 670M,726
Radeon HD 7750M,725
GeForce GT 740,724
GeForce GTX 550 Ti,722
Intel Iris 550,722
Radeon R5 PRO A8-9600B 4C+6G,719
GeForce 940M,717
GeForce 940MX,716
Radeon R9 M370X,715
Ryzen 3 4300U with Radeon Graphics,715
GeForce GT 740M,712
Radeon R7 PRO A12-8870,712
GRID M60-8Q,710
Radeon R9 M275X,709
GeForce GT 755M,708
GeForce 930M,707
FirePro M4150,706
Radeon R5 PRO A6-9500E 2C+4G,705
GeForce MX110,704
Radeon Vega 8 Ryzen 5 3500U,703
Radeon HD 6790,700
Quadro K2000,697
Radeon R7 A10-7870K,696
FirePro W4100,695
Radeon HD 7730M,693
Radeon Pro WX 4130,693
GeForce 930MX,691
Radeon R5 PRO A6-8570E 2C+4G,690
GeForce 830M,689
GRID M6-8Q,687
Quadro K2000M,687
Quadro K1100M,683
Radeon R7 PRO A12-9800,679
Radeon Ryzen 3 7335U,678
Embedded Radeon E9173,677
GeForce GT 745A,676
GeForce 920MX,675
Quadro M500M,675
GeForce GT 730M,672
Radeon HD 8470D + HD 7500 Dual,671
Radeon R7 A10-7890K,671
Radeon Vega 6 Ryzen 3 3350U,671
Radeon 540X,670
Radeon 610M,670
Radeon HD 6900M,667
Radeon HD 8570D + HD 8570 Dual,663
Radeon Vega 6,663
Intel UHD Graphics,662
Quadro K2100M,662
Radeon HD 5770,661
Radeon R5 A10-9620P 4C+6G,661
GeForce 920M,659
Radeon R7 A12-9720P RADEON,657
Quadro K3000M,656
Radeon R9 M265X,656
GeForce GT 650M,652
Barco MXRT 7400,651
Barco MXRT 5400,650
Radeon HD 8650G + 7700M Dual,647
Radeon R7 A8-8650,641
Radeon R7 M465X,640
GeForce GT 750M,639
GeForce 840M,638
GeForce GT 240,638
Radeon R7 A12-9800E RADEON,637
Radeon HD 8670D + R7 200 Dual,636
Radeon HD 8750M,635
"Radeon R5 A6-9400 RADEON R5, 6 COMPUTE CORES 2C+4G",633
Radeon HD 6770,632
GeForce GT 640,631
Radeon R7 G,630
Radeon Vega 8 Ryzen 5 3450U,630
Radeon R7 + R7 240 Dual,629
Intel Iris Plus 640,628
Radeon Vega 6 Ryzen 3 3300U,628
GeForce GTS 450,626
Radeon Vega 6 Ryzen 3 PRO 3300U w/,626
Radeon 540,623
Quadro K620M,621
Radeon HD 7730,620
GeForce 930A,619
GRID M10-8Q,617
GeForce GT 635,616
Radeon R5 A6-9500 2C+6G,616
Radeon R5 PRO A10-8730B 4C+6G,616
Radeon R7 250,614
GRID K280Q,613
Radeon R7 A10-7860K,610
GeForce GT 820M,608
Ryzen 7 2700U with Radeon Vega,608
Radeon HD 4650,607
Radeon HD 7640G + R5 M200 Dual,606
Radeon HD 5600/5700,605
"Radeon R5 PRO A6-8570 R5, 8 COMPUTE CORES 2C+6G",605
Radeon R5 PRO A6-8500B 2C+4G,604
Radeon 540,603
Radeon HD 8570D + R7 240 Dual,602
Radeon R7 PRO A10-8770,602
Radeon HD 7520G + 7700M Dual,601
Radeon Ryzen 5 3450U,601
FirePro V5800,600
Intel Iris 540,600
Radeon R5 A6-8500P,600
GRID M60-4Q,599
GeForce GT 640M,597
GeForce GT 710,594
Radeon R7 PRO A12-9800E,593
Radeon HD 8670D + R7 240 Dual,590
GeForce MX110,588
"Radeon R5 A6-9500 RADEON R5, 8 COMPUTE CORES 2C+6G",586
Radeon HD 8570 + HD 7660D Dual,584
Radeon R5 PRO A6-8530B 2C+4G,584
Radeon R7 A10-9700 RADEON,583
FirePro W5130M,582
Radeon HD 8570D + R7 200 Dual,580
GeForce 930M,579
Radeon HD 8670D + 8570 Dual,579
FirePro W4170M,578
GRID V100-8Q,578
Radeon HD 7560D + HD 8570 Dual,578
Radeon HD 8570 + 8670D Dual,577
Quadro 4000,575
Radeon R7 A8-7500 4C+6G,571
Radeon R7 PRO A12-8870E,571
Radeon HD 8670D + 7000 Dual,570
GRID M60-0B,569
Quadro K610M,569
Radeon R7 240 + HD 8570D Dual,568
Radeon R7 A8-7680,567
Radeon HD 8450G + 8600/8700M Dual,565
Radeon R7 A10-7850K,565
Radeon R7 PRO A10-9700,565
Radeon 550X,564
"Radeon R5 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G",562
GeForce GT 650M,561
Radeon R7 240 + HD 8670D Dual,560
GeForce GT 740M,557
Intel HD P630,553
Intel Iris Pro 6100,553
Radeon R9 M375,551
GeForce GT 745M,550
Radeon HD 8570,550
GeForce GTX 560M,549
Quadro 2000 D,548
Radeon HD 7560D + HD 6670 Dual,548
Radeon R7 A10-8750,548
Quadro 4000M,547
GeForce GT 640M LE,546
GeForce GT 720,544
Intel Iris 6100,544
GeForce 710M,543
GeForce GT 710M,541
Intel HD 5200,537
GeForce 820M,536
Intel HD 6000,535
Radeon R7 FX-8800P,535
Radeon R7 430,534
Radeon 630,533
Radeon 625,532
Mobility Radeon HD 5870,531
Radeon R7 A10 PRO-7800B,531
Radeon R7 M465,531
Radeon HD 5750,530
Quadro 2000D,529
Radeon R5 A6-7480,528
Radeon R7 PRO A10-8750B,528
GeForce 830M,526
Radeon HD 7560D + 7670 Dual,526
Radeon R9 M265X,525
GeForce GT 730M,521
Intel UHD Graphics 630,521
Radeon R7 A8-9600 RADEON,519
Radeon HD 7560D + 6670 Dual,518
Radeon HD 8550G + HD 8750M Dual,518
RadeonT 610M,518
GeForce 210,517
GeForce 920A,517
FirePro W5130M,516
GeForce GT 730,515
GeForce GTX 460M,515
Radeon R5 PRO A6-9500B 2C+4G,515
GeForce 730A,514
Quadro K1100M,513
Radeon HD 7660D + 6670 Dual,513
Radeon R7 A8-7670K,513
Radeon HD 8670D + HD 6670 Dual,512
Radeon HD 8670D + HD 7000 Dual,512
Radeon HD 8670D + 6670 Dual,511
Radeon R6 A8-8600P,510
Radeon HD 8730M,509
GeForce 920MX,508
Intel HD 630,507
Quadro 2000,506
Radeon HD 7560D + HD 7670 Dual,505
GRID M60-2Q,503
Radeon R5 M240,503
GRID K240Q,502
GRID M10-0Q,502
GRID M10-4Q,502
Mobility Radeon HD 5850,502
Radeon HD 8570D + 6670 Dual,502
GeForce GT 635M,501
Radeon HD 8650G + HD 8750M Dual,501
Radeon R7 A10-7800,501
Radeon R7 PRO A10-9700E,500
GRID M10-1Q,497
Quadro K2000M,497
Radeon Vega 3 Athlon 3000G,496
Intel Iris 5100,495
Radeon 530,495
Radeon Vega 3 Mobile,493
GeForce GT 720M,492
Intel UHD Graphics 710,492
Radeon HD 6700M,492
Radeon HD 6800M,491
Radeon R7E,490
GeForce GT 545,489
Radeon HD 7670A,489
GeForce GT 645M,488
Intel HD P530,487
Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,486
Radeon HD 8570D + HD 6670 Dual,486
Radeon HD 6750,485
Radeon R7 240,485
Radeon R7 PRO A10-8770E,485
GeForce GT 645M,484
Radeon HD 7660G + 7730M Dual,484
Radeon R7 M460,484
FirePro W4170M,478
Quadro K420,476
GeForce 920M,475
GeForce 710A,473
Radeon R7 M350,473
GeForce 820M,472
Radeon HD 7660D + 7670 Dual,472
Radeon HD 7690M,472
Radeon HD 8670D + R5 235 Dual,472
Radeon R7 A10-7700K,471
Radeon R5 430,470
GeForce GT 735M,469
NVS 5400M,469
Radeon HD 8750M,469
Radeon 535,468
Radeon R5 Opteron X3216,468
Radeon R7 A8-7650K,468
Radeon HD 6670 + 6670 Dual,464
Firepro W4190M,463
GeForce GT 640M,463
GeForce GT 555M,462
Radeon HD 7650A,459
Intel HD 4600,456
Intel HD 530,456
Radeon 520,456
Ryzen 5 2500U with Radeon Vega,456
Quadro K1000M,454
Radeon E6760,452
Radeon R5 330,452
FirePro W2100,451
Radeon HD 8610G + HD 8500M Dual,451
Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D,451
Radeon HD 8550G + R5 M200 Dual,450
Radeon R4E,449
Radeon R7 A8-7600,449
Radeon R5 240,447
Radeon Vega 3,447
GeForce GT 550M,446
NVS 5400M,446
FirePro V4900,444
Radeon HD 6570,444
Radeon HD 8670D N HD 8670D + HD 8670D Dual,444
Radeon R7 FX-9800P RADEON,444
Radeon HD 8650G + 8600/8700M Dual,443
Intel UHD Graphics 620,442
Radeon R7 PRO A8-8650B,442
Intel HD 5000,441
Radeon 530,441
Radeon HD 7560D + 7560D Dual,440
Radeon HD 7560D + HD 6570 Dual,439
GeForce GT 445M,436
Radeon R7 M445,435
Radeon R7 M440,434
Intel HD Graphics 620,433
NVS 5200M,432
FirePro M4150,431
Intel HD P4600/P4700,430
Radeon 535DX,430
Radeon HD 8570D + 6570 Dual,430
Radeon HD 7640G + HD 8600/8700M Dual,428
Radeon HD 7660D + 7500 Dual,428
Radeon Ryzen 3 3250U,427
Radeon HD 7660D + 7540D Dual,426
Radeon Vega 3 Athlon 300U,425
Matrox C420 LP PCIe x16,424
Radeon HD 7660D + 6570 Dual,424
Radeon HD 8610G + R5 M200 Dual,424
Radeon HD 7730M,423
GeForce GT 630M,422
Radeon Vega 3 Ryzen 3 3250U,421
Radeon 620,420
Radeon R7 A12-9700P RADEON,420
FirePro V5900,419
GRID K1,419
Radeon R7 M340,417
Radeon HD 8570D + HD 6570 Dual,416
Radeon R7 M260X,416
Radeon HD 8470D + 6570 Dual,415
Radeon R7 M465,415
Radeon R8 M445DX,415
GRID M10-2B,414
Radeon Vega 3 Ryzen 3 3200U,414
Radeon R7 PRO A12-8800B,413
Radeon Athlon Gold 3150U,412
Radeon HD 7540D + 7500 Dual,412
Radeon HD 7660G + 7700M Dual,412
Radeon R7 A8 PRO-7600B,412
Radeon R5 M435,411
Intel HD 520,410
Quadro 2000M,410
Quadro 3000M,407
Radeon HD 8650G + 8750M Dual,407
GeForce GT 540M,406
Qualcomm Adreno 690 GPU,403
Intel HD 5500,402
Radeon Vega 3 Athlon 320GE,402
GeForce GT 620M,401
Radeon HD 7660D + HD 7000 Dual,401
Radeon HD 7660G + HD 7670M Dual,399
"Radeon R5 A10-9600P RADEON R5, 10 COMPUTE CORES 4C",399
Radeon R7 M360,398
Intel Poison Ivy,397
Intel HD 5600,396
Radeon HD 8730M,395
Radeon R7 M440,395
Radeon HD 7520G + HD 7600M Dual,394
Radeon HD 7560D + 7570 Dual,394
Radeon HD 8650G + HD 8600/8700M Dual,394
Radeon HD 6670,392
Radeon R5 A10-9600P 4C+6G,392
Radeon HD 7640G + 8600/8700M Dual,391
Radeon R7 PRO A12-9800B,391
Radeon HD 8550G + 8750M Dual,390
Radeon R7 M265,390
Quadro K610M,387
Radeon R7 M270,386
Radeon HD 7620G + 8670M Dual,385
Radeon HD 8670D + HD 7600 Dual,385
"Radeon R5 A10-9620P RADEON R5, 10 COMPUTE CORES 4C",385
GeForce GT 720,384
Radeon HD 7540D + 6570 Dual,382
Radeon HD 7660G + HD 7700M Dual,381
Radeon R6 PRO A8-8600B 4C+6G,380
Radeon HD 6650A,379
Matrox G200e WDDM 2.0,378
Radeon R6 M255DX,377
Radeon HD 8690A,376
Radeon HD 7660G + 8670M Dual,374
Radeon Vega 3 Ryzen Embedded R1505G,374
Qualcomm Adreno 680 GPU,373
Barco MXRT 2600,370
Radeon HD 8650G + HD 8600M N HD 8600M Dual,370
Radeon HD 8650G + HD 8670M Dual,369
Radeon HD 8650G + R5 M230 Dual,369
Radeon HD 8650G N HD 8650G + HD 8600/8700M Dual,369
Radeon HD 8570M,368
Radeon R7 M260,368
GeForce GT 720M,367
Radeon HD 7670M,367
Radeon HD 8550G + 8600/8700M Dual,367
Radeon R5 420,366
GeForce GT 710,365
GeForce 910M,364
Intel HD P4600,364
Radeon R7 M365X,363
Radeon R7 PRO A12-8830B,363
GeForce GT 630,362
Radeon HD 8650D,362
Radeon HD 8650G + 7670M Dual,361
FirePro 3D V4800,360
Radeon HD 6650M,360
Radeon R8 M535DX,359
Radeon HD 7560D + 6570 Dual,358
GeForce GT 540M,357
Radeon HD 8650G + 7600M Dual,356
GeForce GT 440,355
Intel HD Family,355
Radeon Athlon Silver 3050U,355
Radeon R7 M365X,355
Radeon HD 7520G + HD 8750M Dual,353
Quadro K1000M,352
FirePro V3900,351
Radeon HD 8650G + 8500M Dual,350
Radeon HD 5670,349
Radeon HD 8670D,349
Radeon R5 M255,349
Radeon R5 M420,349
GeForce GT 640M LE,346
Quadro K420,346
Radeon HD 7660G + 7600M Dual,346
Radeon HD 7670,346
Radeon R6,346
"Radeon R5 PRO A10-8730B R5, 10 COMPUTE CORES 4C+6G",345
NVS 4200M,344
Radeon R5 M315,344
Radeon R6 A10-8700P,344
GeForce GT 520MX,342
Radeon HD 8550G + 8690M Dual,342
Radeon RX 550X,342
GeForce 820A,341
Quadro K600,341
Intel HD 4400,340
Radeon HD 7570,340
Radeon R6 PRO A10-8700B 4C+6G,338
Radeon HD 6570,337
Radeon HD 8650G,337
Radeon R5 M230,337
Radeon HD 8650G + 8670M Dual,336
Intel HD 3000,335
GeForce GT 635M,334
Radeon Vega 3 3020e,334
Radeon HD 7660G N HD 7660G + HD 7670M Dual,333
Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,332
Radeon HD 7660D,331
Radeon HD 8470D + HD 6450 Dual,331
Radeon HD 8650G N HD 8650G + HD 8570M Dual,330
Radeon R5 M240,329
"Radeon R6 PRO A10-8700B R6, 10 Compute Cores 4C+6G",329
FirePro 3D V3800,327
Radeon HD 7600M + 7600M Dual,327
Radeon HD 8650G + 8570M Dual,327
Intel HD 510,326
Radeon HD 7560D + 6450 Dual,326
Radeon HD 7640G + HD 7670M Dual,326
Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,326
"Radeon R5 PRO A6-8570E R5, 6 COMPUTE CORES 2C+4G",325
Intel HD P4000,324
Radeon HD 7550M/7650M,324
GeForce GT 630M,323
GRID M10-1B,323
Radeon HD 7660G + 7670M Dual,323
Radeon R5 M320,323
Radeon HD 7660G + 7400M Dual,322
Radeon HD 7660G + 7610M Dual,322
GeForce GT 555M,321
GeForce GT 710M,321
NVS 510,321
Radeon HD 8610G + HD 8670M Dual,321
GeForce 710A,320
Radeon HD 7620G + 8600M Dual,320
Radeon HD 8550G + HD 8600M Dual,320
Radeon HD 8610G + 8670M Dual,320
Radeon R7 A360,320
Radeon HD 7620G + HD 8670M Dual,319
Radeon HD 7640G + HD 8500M Dual,319
Radeon HD 8550D,318
Radeon Vega 3 Athlon Silver 3050e,318
GeForce 710M,317
Radeon HD 7660G,317
Radeon HD 7660G + HD 7500/7600 7500/7600 Dual,317
Radeon HD 8650G + 8600M Dual,317
"Radeon R6 PRO A8-8600B R6, 10 Compute Cores 4C+6G",317
SUMO 9640,317
Radeon R1E,316
GeForce GT 720A,314
Mobility Radeon HD 5000,314
Radeon HD 7650A,314
Radeon HD 8610G + 8600M Dual,314
Radeon HD 8650G + HD 8570M Dual,313
"Radeon R5 PRO A8-9600B R5, 10 COMPUTE CORES 4C+6G",313
Radeon HD 7550M,312
Radeon HD 8610G + 8500M Dual,312
GeForce GT 530,310
GeForce GT 820M,310
Radeon HD 8500M,310
Radeon HD 7650M,307
Radeon HD 8570D + HD 7000 Dual,307
NVS 5200M,306
Intel UHD Graphics 610,303
Quadro 600,303
Radeon HD 8570D + R5 235 Dual,302
Radeon R7 M350,302
Radeon 3020e,301
Radeon HD 7660G + 8600M Dual,301
Radeon HD 7660D + R5 235 Dual,300
Radeon HD 7660G + 7470M Dual,300
Radeon HD 7660G + HD 8500M Dual,299
Radeon Vega 2,299
GeForce GT 430,297
Intel UHD Graphics 615,296
Radeon HD 7640G + 7600M Dual,296
Radeon HD 7660D + 7470 Dual,296
Radeon R5 235 + HD 7560D Dual,296
GeForce GT 525M,294
Intel HD 615,293
Radeon HD 6550A,293
Radeon HD 8550G + 8500M Dual,292
Radeon HD 8470D + 6450 Dual,289
"Radeon R5 PRO A6-9500B R5, 6 COMPUTE CORES 2C+4G",289
Radeon HD 8610G,287
Radeon HD 8470D,286
Radeon HD 8510G + 8500M Dual,286
Matrox G200eW3 WDDM 2.0,284
Radeon HD 7660G + HD 7600M Dual,284
Radeon HD 8650G + HD 8600M Dual,284
FirePro V3800,283
GeForce GT 620M,283
Intel HD 515,283
Quadro 1000M,283
Radeon HD 8550G + 8570M Dual,283
GeForce GT 550M,282
Radeon HD 7650M,280
Intel HD 610,279
Radeon HD 7640G + HD 7600M Dual,279
GRID K140Q,277
Quadro 410,277
Radeon HD 7670M,277
Radeon HD 7560D + R5 235 Dual,275
Intel HD 3000,274
Radeon 6600M,274
Radeon HD 5570,272
Radeon HD 6550D,272
Intel HD 4000,268
GeForce 800M,266
GeForce GT 435M,266
Radeon HD 7640G + 7670M Dual,266
Radeon HD 7500G + 7550M Dual,264
Radeon HD 7570M,264
Radeon HD 7610M,264
FirePro M2000,263
GeForce 615,263
Quadro 500M,263
Mobility Radeon HD 5730,262
Intel HD 5300,261
Mobility Radeon HD 5570,259
Radeon HD 7640G + 7650M Dual,259
Radeon HD 7640G + 8670M Dual,259
Radeon HD 8550G + 8670M Dual,259
Radeon HD 8570D,258
Radeon R5 235X,257
SUMO 964A,257
Radeon HD 7640G + 7500M/7600M Dual,256
Radeon HD 7640G + 8500M Dual,255
Radeon HD 7640G N HD 7640G + HD 7670M Dual,255
Radeon HD 7640G + 7690M Dual,254
Radeon HD 7670M + 7670M Dual,254
Radeon HD 8570D + HD 8470 Dual,254
Mobile Intel HD,253
Radeon HD 7640G + 7450M Dual,252
Radeon HD 7640G + 7700M Dual,251
GeForce 610M,250
Radeon HD 7600G + HD Dual,250
Radeon HD 7640G + 8750M Dual,250
Radeon HD 7560D + HD 7000 Dual,249
IncrediblE HD 4600,248
Radeon HD 8510G,248
Radeon HD 7500G + 7500M/7600M Dual,246
Radeon HD 7560D,246
Radeon HD 7640G + 8570M Dual,245
Intel Skylake HD DT GT2,244
Radeon HD 7640G + 7500/7600 Dual,244
GeForce GT 425M,242
Radeon HD 7620G,242
GeForce GT 525M,241
Radeon HD 7540D + HD 6450 Dual,241
Radeon HD 8550G + 8600M Dual,241
GeForce GT 420M,240
Radeon HD 7640G,239
Radeon HD 8550G,239
Radeon R5 310,238
Radeon HD 7520G + 7600M Dual,235
Radeon HD 7600G + 7450M Dual,235
Radeon HD 7640G + HD 7400M Dual,232
Radeon HD 8450G + 8670M Dual,232
Radeon HD 7640G + 7610M Dual,231
Radeon HD 7640G + HD 8500M N HD 8500M Dual,231
Radeon HD 7640G + HD 8570M Dual,230
Mobility Radeon HD 4250,229
Radeon HD 7600G + 6400M Dual,229
Radeon HD 8450G + 8750M Dual,228
Radeon HD 8450G + 8600M Dual,227
Radeon HD 8570D + HD8490 Dual,226
Mobility Radeon HD 5650,225
Radeon HD 7520G + 7670M Dual,224
PHDGD Ivy 5,223
Radeon 3015e,222
Radeon HD 7520G + HD 7400M Dual,222
Radeon HD 7640G N HD 7640G + HD 8570M Dual,222
Radeon HD 7640G + 6400M Dual,221
Radeon HD 7640G + 7470M Dual,221
RADEON HD6530D,221
Radeon HD 7640G + 7400M Dual,220
Radeon R5 230,220
Radeon HD 5550,219
Radeon HD 8470D,215
GeForce 800A,214
Radeon HD 7520G N HD 7520G + HD 7500/7600 7500/760,214
Radeon HD 8350G,214
GeForce 810M,212
Radeon HD 7520G + 7470M Dual,212
Radeon HD 7520G + 8750M Dual,212
Radeon HD 7520G + HD 8600/8700M Dual,211
Radeon R4,211
GeForce 810M,210
GeForce GT 620,210
Radeon HD 8690A,210
GeForce 610M,209
IncrediblE HD 4000,207
Radeon HD 7600G,207
Radeon HD 8450G,207
Radeon HD 7520G + 7610M Dual,206
Intel UHD Graphics 605,205
Intel Media Accelerator HD,203
Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D,202
NVS 315,201
Radeon HD 7520G + 7500/7600 Dual,201
Radeon HD 7520G N HD 7520G + HD 7600M N HD 7600M D,201
Radeon HD 7540D,199
Radeon HD 7660G + HD 7600M N HD 7600M Dual,198
GRID K160Q,196
Radeon HD 6620G,196
Radeon HD 6530D,194
Radeon HD 8410G,192
Radeon HD 7600G + 7550M Dual,191
Radeon HD 7520G,189
M880G with Mobility Radeon HD 4250,188
Radeon HD 8490,188
Mobility Radeon HD 5000 Serisi,184
Intel UHD Graphics 600,183
Radeon HD 7470,183
GeForce GT 625,181
GeForce GTS 250,181
Radeon R3,179
GeForce GT 420,177
GeForce GT 520,177
GeForce GT 520M,177
Radeon HD 7600G + 7500M/7600M Dual,177
Radeon HD 8400,177
IncrediblE HD,176
Radeon HD 7520G + 7650M Dual,176
Radeon R5 235,176
GeForce GT 705,175
GRID K120Q,175
Intel HD 505,175
Radeon HD 8400E,175
GeForce GT 610,174
Radeon HD 7600G + 8500M/8700M Dual,173
Radeon R5E,173
GeForce GT 520MX,171
NVS 4200M,169
GRID K180Q,168
SUMO 9644,168
Radeon HD 6520G,167
RADEON HD6410D,167
Radeon HD 7580D,166
Radeon E6460,165
Radeon HD 7450A,165
Radeon HD 7500G,165
